Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
38,Entry short,2025-06-24 05:33,S,3371.187,65.59,221116.1553,9.53,0.00,252.59,0.11,-101.93,-0.05,-125.59,-1.26
39,Exit short,2025-06-24 07:03,S TP2,3358.435,56.72,191113.3322,621.28,0.33,622.18,0.33,-64.7,-0.03,495.51,4.96
39,Entry short,2025-06-24 05:48,S,3369.417,56.72,191113.3322,621.28,0.33,622.18,0.33,-64.7,-0.03,495.51,4.96
40,Exit short,2025-06-24 07:03,S TP1,3358.435,14.18,47778.33306,154.64,0.32,155.54,0.33,-16.18,-0.03,650.33,6.50
40,Entry short,2025-06-24 05:48,S,3369.417,14.18,47778.33306,154.64,0.32,155.54,0.33,-16.18,-0.03,650.33,6.50
41,Exit short,2025-06-24 07:12,S TP1,3358.732,11.64,39130.03668,33.32,0.09,34.22,0.09,-25.94,-0.07,682.93,6.83
41,Entry short,2025-06-24 07:06,S,3361.687,11.64,39130.03668,33.32,0.09,34.22,0.09,-25.94,-0.07,682.93,6.83
42,Exit short,2025-06-24 07:18,S TP2,3355.073,46.57,156553.7636,306.39,0.20,307.29,0.20,-103.78,-0.07,990.04,9.90
42,Entry short,2025-06-24 07:06,S,3361.687,46.57,156553.7636,306.39,0.20,307.29,0.20,-103.78,-0.07,990.04,9.90
43,Exit short,2025-06-24 14:24,S TP1,3339.84,17.15,57313.36205,34.03,0.06,34.93,0.06,-32.73,-0.06,1023.35,10.23
43,Entry short,2025-06-24 14:15,S,3341.887,17.15,57313.36205,34.03,0.06,34.93,0.06,-32.73,-0.06,1023.35,10.23
44,Exit short,2025-06-24 14:30,S TP2,3337.278,68.64,229387.1237,314.74,0.14,315.64,0.14,-131,-0.06,1338.81,13.39
44,Entry short,2025-06-24 14:15,S,3341.887,68.64,229387.1237,314.74,0.14,315.64,0.14,-131,-0.06,1338.81,13.39
45,Exit short,2025-06-24 14:36,S TP1,3336.469,15.17,50650.30899,34.99,0.07,35.89,0.07,-3.41,-0.01,1373.09,13.73
45,Entry short,2025-06-24 14:33,S,3338.847,15.17,50650.30899,34.99,0.07,35.89,0.07,-3.41,-0.01,1373.09,13.73
46,Exit short,2025-06-24 14:39,S TP2,3333.481,60.72,202734.7898,324.2,0.16,325.1,0.16,-13.65,-0.01,1698.01,16.98
46,Entry short,2025-06-24 14:33,S,3338.847,60.72,202734.7898,324.2,0.16,325.1,0.16,-13.65,-0.01,1698.01,16.98
47,Exit short,2025-06-24 14:45,S TP1,3331.64,14.12,47082.25044,38.41,0.08,39.31,0.08,-8.2,-0.02,1735.7,17.36
47,Entry short,2025-06-24 14:42,S,3334.437,14.12,47082.25044,38.41,0.08,39.31,0.08,-8.2,-0.02,1735.7,17.36
48,Exit short,2025-06-24 14:51,S TP2,3328.327,56.51,188429.0349,343.66,0.18,344.56,0.18,-32.82,-0.02,2080.08,20.80
48,Entry short,2025-06-24 14:42,S,3334.437,56.51,188429.0349,343.66,0.18,344.56,0.18,-32.82,-0.02,2080.08,20.80
49,Exit short,2025-06-24 14:57,S TP1,3331.747,12.34,41065.44688,-49.39,-0.12,13.54,0.03,-48.49,-0.12,2029.97,20.30
49,Entry short,2025-06-24 14:54,S,3327.832,12.34,41065.44688,-49.39,-0.12,13.54,0.03,-48.49,-0.12,2029.97,20.30
50,Exit short,2025-06-24 14:57,S TP2,3331.747,49.38,164328.3442,-194.94,-0.12,54.19,0.03,-194.04,-0.12,1835.75,18.36
50,Entry short,2025-06-24 14:54,S,3327.832,49.38,164328.3442,-194.94,-0.12,54.19,0.03,-194.04,-0.12,1835.75,18.36
51,Exit short,2025-06-24 21:18,S TP1,3317.301,12.71,42114.41977,-49.56,-0.12,21.45,0.05,-48.66,-0.12,1785.47,17.85
51,Entry short,2025-06-24 21:15,S,3313.487,12.71,42114.41977,-49.56,-0.12,21.45,0.05,-48.66,-0.12,1785.47,17.85
52,Exit short,2025-06-24 21:18,S TP2,3317.301,50.87,168557.0837,-195.64,-0.12,85.86,0.05,-194.74,-0.12,1590.55,15.91
52,Entry short,2025-06-24 21:15,S,3313.487,50.87,168557.0837,-195.64,-0.12,85.86,0.05,-194.74,-0.12,1590.55,15.91
53,Exit short,2025-06-24 21:24,S TP1,3315.139,11,36504.072,36.46,0.10,37.36,0.10,-2.85,-0.01,1626.29,16.26
53,Entry short,2025-06-24 21:21,S,3318.552,11,36504.072,36.46,0.10,37.36,0.10,-2.85,-0.01,1626.29,16.26
54,Exit short,2025-06-24 21:30,S TP2,3310.926,44.02,146082.659,334.08,0.23,334.98,0.23,-11.42,-0.01,1961.09,19.61
54,Entry short,2025-06-24 21:21,S,3318.552,44.02,146082.659,334.08,0.23,334.98,0.23,-11.42,-0.01,1961.09,19.61
55,Exit short,2025-06-24 21:33,S TP1,3305.268,9.77,32330.75699,37.21,0.12,38.11,0.12,-14.08,-0.04,1997.58,19.98
55,Entry short,2025-06-24 21:33,S,3309.187,9.77,32330.75699,37.21,0.12,38.11,0.12,-14.08,-0.04,1997.58,19.98
56,Exit short,2025-06-24 21:39,S TP2,3309.023,39.09,129356.1198,4.79,0.00,183.28,0.14,-56.35,-0.04,2003.09,20.03
