entry_time,dir,et,entry,sl,tp,lot,rr,ticket,exit_time,exit_reason,pnl
2026.01.15 05:10:00,S,E1,4589.728,4596.21438,4575.92498,0.15,2.13,20260115051000494,2026.01.15 05:28:41,Early Exit/Session End?,39.27
2026.01.28 07:11:00,L,E2,5273.549,5264.06021,5288.49384,0.15,1.58,20260128071100361,2026.01.28 07:36:30,SL Hit,7.98
2026.01.28 13:22:00,L,E1,5280.278,5268.694,5307.61392,0.09,2.36,20260128132200440,2026.01.28 13:36:02,SL hit,-106.18
2026.02.04 07:45:00,L,E1,5080.623,5066.801,5097.69317,0.13,1.24,20260204074500786,2026.02.04 07:59:50,SL Hit,37.59
2026.02.04 07:46:00,L,E2,5083.424,5071.60829,5102.03375,0.15,1.58,20260204074600786,2026.02.04 08:05:00,SL hit,-62.16
2026.02.27 13:22:00,L,E2,5224.086,5211.57814,5240.57874,0.14,1.32,20260227132200834,2026.02.27 13:27:40,TP Hit,227.86
2026.03.03 13:15:00,S,E1,5164.284,5212.29686,5075.45622,0.04,1.85,,,OPEN/UNMATCHED,
2026.03.03 14:46:00,S,E2,5060.657,5099.33921,5003.5303,0.05,1.48,20260303144600308,2026.03.03 14:52:52,SL Hit,116.15
2026.03.05 02:55:00,L,E2,5187.512,5178.20471,5201.43803,0.15,1.5,20260305025500589,2026.03.05 03:13:00,SL hit,-28.69
2026.03.09 13:20:00,S,E1,5092.96,5099.093,5078.48735,0.15,2.36,20260309132000906,2026.03.09 13:25:58,Early Exit/Session End?,88.48
2026.03.09 13:45:00,S,E1,5076.253,5100.11557,5032.10526,0.08,1.85,20260309134500923,2026.03.09 14:39:01,SL hit,-150.65
2026.03.11 13:46:00,S,E2,5161.982,5175.49379,5142.79499,0.13,1.42,20260311134600170,2026.03.11 13:52:09,SL Hit,82.97
2026.03.13 08:04:00,S,E2,5070.688,5079.13579,5055.78611,0.15,1.76,20260313080400325,2026.03.13 08:14:00,SL hit,-90.84
2026.03.18 03:05:00,S,E1,4989.751,4999.217,4970.61453,0.15,2.02,20260318030500568,2026.03.18 05:07:42,Early Exit/Session End?,19.97
2026.03.23 05:34:00,S,E2,4321.783,4339.86721,4301.04764,0.1,1.15,20260323053400397,2026.03.23 05:38:04,SL hit,-159.79
2026.03.30 05:19:00,L,E2,4510.76,4502.93771,4524.55851,0.15,1.76,20260330051900248,2026.03.30 05:31:00,SL hit,-37.62
2026.04.02 05:44:00,S,E2,4636.768,4658.82271,4611.48006,0.08,1.15,20260402054400751,2026.04.02 05:47:31,TP Hit,204.45
2026.04.06 00:28:00,S,E2,4604.309,4619.01157,4588.29393,0.12,1.09,20260406002800935,2026.04.06 00:36:00,SL hit,-50.54
2026.04.07 01:15:00,S,E1,4640.455,4664.406,4608.98243,0.08,1.31,20260407011500064,2026.04.07 01:58:07,Early Exit/Session End?,82.57
2026.04.10 08:05:00,S,E1,4747.58,4755.081,4731.61787,0.15,2.13,20260410080500601,2026.04.10 08:53:25,TP Hit,237.84
2026.04.14 00:20:00,L,E1,4763.577,4752.864,4782.91397,0.15,1.81,20260414002000812,2026.04.14 01:00:17,SL Hit,9.14
2026.04.17 07:45:00,S,E1,4786.189,4793.63386,4770.34634,0.09,2.13,20260417074500134,2026.04.17 08:42:52,SL hit,-56.89
2026.04.17 07:50:00,S,E2,4779.956,4785.99521,4769.30283,0.09,1.76,20260417075000134,2026.04.17 08:00:12,SL hit,-39.02
2026.04.28 09:25:00,S,E1,4616.298,4626.44943,4597.01029,0.15,1.9,20260428092500985,2026.04.28 10:19:51,Early Exit/Session End?,69.36
2026.05.05 14:27:00,L,E1,4582.198,4566.86857,4605.64436,0.12,1.53,20260505142700586,,OPEN/UNMATCHED,
2026.05.06 05:57:00,L,E1,4658.605,4650.19243,4674.58889,0.15,1.9,,,OPEN/UNMATCHED,
2026.05.07 01:18:00,L,E1,4714.186,4699.98429,4732.84762,0.13,1.31,20260507011800734,,OPEN/UNMATCHED,
2026.05.07 08:02:00,L,E2,4750.106,4742.549,4763.43655,0.15,1.76,20260507080200810,2026.05.07 08:14:36,SL hit,-116.22
2026.05.08 13:36:00,L,E1,4741.699,4727.47929,4763.44805,0.13,1.53,20260508133600951,2026.05.08 14:09:11,SL hit,-184.51
2026.05.11 02:55:00,S,E1,4680.707,4692.66786,4656.52693,0.15,2.02,20260511025500049,2026.05.11 03:27:53,SL hit,-125.32
2026.05.18 13:55:00,L,E2,4583.273,4568.44379,4602.07459,0.12,1.27,20260518135500686,2026.05.18 14:01:00,SL hit,-122.88
2026.05.19 09:30:00,S,E1,4540.849,4546.883,4528.00865,0.15,2.13,20260519093000769,2026.05.19 10:43:55,TP Hit,193.44
2026.05.21 01:18:00,L,E1,4560.217,4546.73243,4577.93627,0.14,1.31,20260521011800033,2026.05.21 02:21:00,SL hit,-187.84
2026.05.26 05:48:00,S,E1,4527.366,4534.3,4514.1914,0.15,1.9,20260526054800375,2026.05.26 06:21:00,SL hit,-81.84
2026.05.29 01:15:00,L,E1,4514.84,4502.62,4539.54395,0.15,2.02,20260529011500689,2026.05.29 01:30:25,SL hit,-189.59
2026.05.29 01:16:00,L,E2,4515.049,4505.7835,4530.57612,0.15,1.68,20260529011600689,2026.05.29 01:27:00,SL hit,-76.99
2026.05.29 07:40:00,L,E1,4522.382,4513.978,4540.26571,0.11,2.13,20260529074000721,2026.05.29 08:07:55,SL hit,-47.55
2026.05.29 09:12:00,L,E1,4525.715,4517.10129,4544.04498,0.11,2.13,20260529091200743,2026.05.29 10:03:09,SL Hit,5.29
